Capture ID,Date,Avg surface (px^2),Avg surface (mm^2),Avg weight,Bcmk len
59,2023-08-08 15:06:08.929899,824.1363636363636,97.47872533495207,80.82393989645749,87.23
60,2023-08-08 15:06:10.001647,725.35,85.97160084028987,58.61518962175943,87.14
61,2023-08-08 15:06:10.980489,824.0,97.50730387689752,80.87909648241222,87.21
62,2023-08-08 15:06:11.958590,830.6666666666666,98.3638600757512,82.53224994619983,87.18
63,2023-08-08 15:06:12.947997,812.75,96.17604517712192,78.3097671918453,87.21
64,2023-08-08 15:06:13.957691,815.625,96.44988732879371,78.83828254457185,87.24
65,2023-08-08 15:06:14.973438,805.7222222222222,95.27885676829256,76.57819356280464,87.24
66,2023-08-08 15:06:15.962534,811.5384615384615,96.1649552570897,78.28836364618313,87.15
67,2023-08-08 15:06:16.952413,806.9166666666666,95.63923289176796,77.27371948111217,87.14
68,2023-08-08 15:06:17.981655,851.0,100.70232475635898,87.04548677977279,87.21
69,2023-08-08 15:06:18.956501,827.5,98.07885806209397,81.98219605984136,87.14
70,2023-08-08 15:06:19.980742,844.4166666666666,100.08389413325258,85.85191567717749,87.14
71,2023-08-08 15:06:20.989809,842.1,99.58062849909847,84.88061300326002,87.24
72,2023-08-08 15:06:21.991272,831.4230769230769,98.45343082128258,82.7051214850754,87.18
13,2023-08-08 15:11:12.028518,875.5714285714286,104.01508446324301,238.02008041796685,87.04
15,2023-08-08 15:11:14.050961,855.9,101.65482215750752,230.18400956292498,87.05
19,2023-08-08 15:11:18.096101,848.4285714285714,253.62255557329695,734.7168845033459,54.87
20,2023-08-08 15:11:19.004111,835.6428571428571,99.36300322745032,222.57517071513504,87.0
21,2023-08-08 15:11:20.009286,853.5,101.48632580261595,229.62460166468495,87.0
22,2023-08-08 15:11:21.055939,807.5,96.01664684898931,211.4652675386445,87.0
24,2023-08-08 15:11:23.058525,875.5,104.10225921521999,238.3095005945303,87.0
25,2023-08-08 15:11:24.050467,833.9166666666666,99.15774871185099,221.89372572334526,87.0
31,2023-08-08 15:11:30.026926,702.75,4.947040963437399,-90.88582400138785,357.56
34,2023-08-08 15:11:33.093743,815.9583333333334,8.612808453743666,-78.71547593357103,292.0
35,2023-08-08 15:11:34.139390,823.8125,97.9563020214031,217.90492271105828,87.0
36,2023-08-08 15:11:35.069138,824.8461538461538,98.07920973200403,218.31297631025336,87.0
37,2023-08-08 15:11:36.084121,838.7142857142857,6.568363111553651,-85.50303446964188,339.0
39,2023-08-08 15:11:38.095140,676.125,80.39536266349585,159.6026040428062,87.0
43,2023-08-08 15:11:42.133634,742.3,88.26397146254459,185.72638525564804,87.0
45,2023-08-08 15:11:44.157886,814.0384615384615,96.79410957651149,214.04644379401816,87.0
47,2023-08-08 15:11:46.102557,826.3,98.25208085612367,218.8869084423305,87.0
48,2023-08-08 15:11:47.097622,809.4,96.24256837098693,212.21532699167656,87.0
49,2023-08-08 15:11:48.116771,842.9,100.22592152199763,225.44005945303215,87.0
50,2023-08-08 15:11:49.154723,859.5,102.1997621878716,231.9932104637337,87.0
51,2023-08-08 15:11:50.161888,741.3333333333334,88.14902893380898,185.34477606024575,87.0
